Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine
AUDI,A3 SPORTBACK,Delantera,USD,"US$ 28,900",https://cde.neoauto.pe/autos_usados/360x240/742951/742951_7885414.webp,2022,13700,Gasolina,Automática,"Lima, Lima",Rojo,4,tela,"1,400 cc"
TOYOTA,PRIUS,4x2,USD,"US$ 15,800",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3565959.webp,2018,86649,Gasolina-Híbrido,Automática - Secuencial,"Lima, Lima",Gris Oscuro,4,tela,"1,800 cc"
NISSAN,SENTRA,4x2,USD,"US$ 17,000",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5738600.webp,2023,25607,Gasolina,Mecánica,"Lima, Lima",Gris Metálico,4,tela,"2,000 cc"
TOYOTA,FORTUNER,2.8 ADVENTURE 4X4 MT,USD,"US$ 42,000",https://cde.neoauto.pe/autos_usados/360x240/742917/742917_2751331.webp,2019,62000,Diesel,Mecánica,"Trujillo, La Libertad",Blanco,4,Asientos de cuero,"2,755 cc"
MAZDA,2,4x2,USD,"US$ 18,200",https://cde.neoauto.pe/autos_usados/360x240/650434/650434_1887505.webp,2024,633,Gasolina,Mecánica,"Lima, Lima",Beige,4,tela,"1,500 cc"
FORD,RANGER,4x4,USD,"US$ 21,300",https://cde.neoauto.pe/autos_usados/360x240/242077/242077_3158638.webp,2021,131791,Diesel,Mecánica,"Lima, Lima",,,tela,"2,200 cc"
MINI,HATCH 3DR,,USD,"US$ 33,991",https://cde.neoauto.pe/autos_usados/360x240/208604/208604_4087470.webp,2024,1786,Eléctrico,Automática,"Lima, Lima",Negro,,tela,
JEEP,GRAND CHEROKEE LIMITED,4x4,USD,"US$ 13,000",https://cde.neoauto.pe/autos_usados/360x240/715295/715295_1114951.webp,2006,140000,Gasolina,Automática - Secuencial,"Lima, Lima",Azul acero,8,tela,"5,700 cc"
LEXUS,IS 300,Posterior,USD,"US$ 22,700",https://cde.neoauto.pe/autos_usados/360x240/648078/648078_5953511.webp,2018,31000,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,4,Asientos de cuero,"2,000 cc"
FORD,MUSTANG,Posterior,USD,"US$ 19,500",https://cde.neoauto.pe/autos_usados/360x240/742866/742866_3439844.webp,1965,54000,Gasolina,Automática,"Lima, Lima",,8,tela,"4,700 cc"
HYUNDAI,SANTA FE,BASICA 4X2 MT,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/742915/742915_7655377.webp,2014,97000,Gasolina,Automática - Secuencial,"Lima, Lima",Blanco,,tela,"2,400 cc"
VOLKSWAGEN,NIVUS,4x2,USD,"US$ 17,200",https://cde.neoauto.pe/autos_usados/360x240/662916/662916_5594562.webp,2021,53000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Oscuro,3,tela,"1,000 cc"
MERCEDES BENZ,GLE 400 4MATIC,GLE 400,USD,"US$ 38,000",https://cde.neoauto.pe/autos_usados/360x240/332517/332517_6487100.webp,2018,49000,Gasolina,Automática - Secuencial,"Lima, Lima",Plata,6,Asientos de cuero,"3,000 cc"
MERCEDES BENZ,C-350,Posterior,USD,"US$ 13,800",https://cde.neoauto.pe/autos_usados/360x240/723718/723718_1499902.webp,2012,119100,Gasolina,Automática - Secuencial,"Lima, Lima",Plata Perla,6,tela,"3,500 cc"
SUBARU,FORESTER,2.0 AWD MT X,USD,"US$ 12,500",https://cde.neoauto.pe/autos_usados/360x240/191263/191263_5010088.webp,2011,86500,Gasolina,Mecánica,"Lima, Lima",Blanco,,tela,"2,000 cc"
TOYOTA,HILUX,4x4,USD,"US$ 33,000",https://cde.neoauto.pe/autos_usados/360x240/406692/406692_9432200.webp,2017,90000,Diesel,Mecánica,"Lima, Lima",Rojo Carmesí,4,tela,"2,800 cc"
KIA,RIO,,USD,"US$ 10,200",https://cde.neoauto.pe/autos_usados/360x240/706675/706675_2490868.webp,2017,96000,Gas GLP,Mecánica,"Trujillo, La Libertad",Gris Oscuro,4,tela,"1,400 cc"
TOYOTA,4RUNNER,4x4,USD,"US$ 51,000",https://cde.neoauto.pe/autos_usados/360x240/742886/742886_4092682.webp,2021,45000,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Oscuro,3,tela,"4,000 cc"
DODGE,JOURNEY,Delantera,USD,"US$ 12,900",https://cde.neoauto.pe/autos_usados/360x240/187065/187065_9178621.webp,2014,105000,Gas GLP,Automática,"Lima, Lima",Azul,4,tela,"2,400 cc"
AUDI,A4,Delantera,USD,"US$ 12,900",https://cde.neoauto.pe/autos_usados/360x240/187065/187065_5404632.webp,2013,112000,Gasolina,Automática,"Lima, Lima",Gris Oscuro,4,tela,"1,800 cc"
KIA,SORENTO,2.4 AT - EX 4X2 FULL,USD,"US$ 16,000",https://cde.neoauto.pe/autos_usados/360x240/676108/676108_6870302.webp,2016,68000,Gasolina,Automática,"Lima, Lima",Bronce,4,tela,
VOLKSWAGEN,SAVEIRO,Delantera,USD,"US$ 11,900",https://cde.neoauto.pe/autos_usados/360x240/232493/232493_6767577.webp,2022,26000,Gasolina,Mecánica,"Lima, Lima",Plata,4,tela,"1,598 cc"
KIA,SPORTAGE,4x2,USD,"US$ 17,900",https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7677544.webp,2017,85584,Gasolina,Automática - Secuencial,"Lima, Lima",Gris Metálico,4,tela,"2,000 cc"
KIA,SONET,4x2,USD,"US$ 15,990",https://cde.neoauto.pe/autos_usados/360x240/741676/741676_1698621.webp,2021,20000,Gasolina,Mecánica,"Lima, Lima",Blanco,4,tela,"1,497 cc"
JETOUR,X70 PLUS,4x2,USD,"US$ 19,900",https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7729361.webp,2023,9017,Gasolina,Mecánica,"Lima, Lima",Negro,4,tela,"1,500 cc"
BMW,X3 28i,4x4,USD,"US$ 17,500",https://cde.neoauto.pe/autos_usados/360x240/255748/255748_8458425.webp,2013,60000,Gasolina,Automática,"Lima, Lima",Negro,4,tela,
